time,episode,episode_time,mode,pos_x,pos_y,pos_z,target_x,target_y,target_z,position_error,speed,angular_speed,energy_proxy,average_thrust,average_health,m0_health,m0_cmd,m0_pitch_deg,m0_yaw_deg,m0_effective_thrust,m0_energy,m1_health,m1_cmd,m1_pitch_deg,m1_yaw_deg,m1_effective_thrust,m1_energy,m2_health,m2_cmd,m2_pitch_deg,m2_yaw_deg,m2_effective_thrust,m2_energy,m3_health,m3_cmd,m3_pitch_deg,m3_yaw_deg,m3_effective_thrust,m3_energy,m4_health,m4_cmd,m4_pitch_deg,m4_yaw_deg,m4_effective_thrust,m4_energy,m5_health,m5_cmd,m5_pitch_deg,m5_yaw_deg,m5_effective_thrust,m5_energy
4.19427,1,4.2,BaselineAllocator,0.149165,2.25444,-1.24598,0.666102,2.19721,-1.5282,0.591734,0.786769,0.0668934,0.22033,0.0935988,0.871199,1,0,0,0,0,0.00283557,1,0.112319,-23.0081,-7.73574,3.93115,0.0434989,1,0.112319,-20.9155,63.1003,3.93115,0.0434989,1,0.112319,-20.9155,-63.1003,3.93115,0.0434989,0.227194,0.112319,63.9042,-16.1013,0.893132,0.0434989,1,0.112319,-63.9042,-16.1013,3.93115,0.0434989
4.39486,1,4.4,BaselineAllocator,0.317753,2.2616,-1.20258,0.908378,2.33845,-1.5282,0.6788,0.944228,0.138679,0.23384,0.0972103,0.871199,1,0,0,0,0,0.00310188,1,0.116652,-23.8567,-7.50928,4.08283,0.0461475,1,0.116652,-21.6665,62.9514,4.08283,0.0461475,1,0.116652,-21.6665,-62.9514,4.08283,0.0461475,0.227194,0.116652,63.9662,-15.656,0.927594,0.0461475,1,0.116652,-63.9662,-15.656,4.08283,0.0461475
4.59491,1,4.6,BaselineAllocator,0.513274,2.27818,-1.16982,1.20358,2.34407,-1.5282,0.780578,1.0586,0.0707945,0.247724,0.0956299,0.871199,1,0,0,0,0,0.0036396,1,0.114756,-23.3275,-7.42054,4.01646,0.0488168,1,0.114756,-21.1884,63.047,4.01646,0.0488168,1,0.114756,-21.1884,-63.047,4.01646,0.0488168,0.227194,0.114756,63.99,-15.4809,0.912514,0.0488168,1,0.114756,-63.99,-15.4809,4.01646,0.0488168
4.79543,1,4.8,BaselineAllocator,0.73332,2.30468,-1.14637,1.4183,2.55879,-1.5282,0.824354,1.15829,0.0398167,0.262084,0.0994934,0.871199,1,0,0,0,0,0.00419414,1,0.119392,-23.8794,-5.95246,4.17872,0.0515779,1,0.119392,-21.626,62.9596,4.17872,0.0515779,1,0.119392,-21.6259,-62.9596,4.17872,0.0515779,0.227194,0.119392,64.3455,-12.5381,0.949379,0.0515779,1,0.119392,-64.3455,-12.5381,4.17872,0.0515779
4.99587,1,5,BaselineAllocator,0.968826,2.3505,-1.13418,1.69813,2.60924,-1.5282,0.868378,1.24986,0.110441,0.27686,0.0979695,0.871199,1,0,0,0,0,0.00476617,1,0.117563,-24.0559,-5.36358,4.11472,0.0544187,1,0.117563,-21.7643,62.9315,4.11472,0.0544187,1,0.117563,-21.7643,-62.9315,4.11472,0.0544187,0.227194,0.117563,64.4673,-11.3352,0.934838,0.0544187,1,0.117563,-64.4673,-11.3352,4.11472,0.0544187
5.1959,1,5.2,BaselineAllocator,1.21774,2.41204,-1.13027,1.92079,2.79603,-1.5282,0.894474,1.3289,0.171389,0.291383,0.0997124,0.871199,1,0,0,0,0,0.00532061,1,0.119655,-24.6372,-4.19677,4.18792,0.0572125,1,0.119655,-22.2502,62.8309,4.18792,0.0572125,1,0.119655,-22.2502,-62.8309,4.18792,0.0572125,0.227194,0.119655,64.6726,-8.9192,0.951469,0.0572125,1,0.119655,-64.6726,-8.91921,4.18792,0.0572125
5.39613,1,5.4,BaselineAllocator,1.47223,2.493,-1.13514,2.17296,2.91172,-1.5282,0.905997,1.35813,0.0445213,0.306636,0.0987589,0.871199,1,0,0,0,0,0.00618309,1,0.118511,-24.2123,-3.30048,4.14787,0.0600906,1,0.118511,-21.8518,62.9136,4.14787,0.0600906,1,0.118511,-21.8518,-62.9136,4.14787,0.0600906,0.227194,0.118511,64.797,-7.03837,0.94237,0.0600906,1,0.118511,-64.797,-7.03837,4.14787,0.0600906
5.5962,1,5.6,BaselineAllocator,1.73325,2.58829,-1.14375,2.47325,2.91172,-1.5282,0.894426,1.40027,0.0839287,0.320632,0.0949657,0.871199,1,0,0,0,0,0.00672177,1,0.113959,-24.0242,-3.26387,3.98856,0.0627821,1,0.113959,-21.6834,62.9479,3.98856,0.0627821,1,0.113959,-21.6834,-62.9479,3.98856,0.0627821,0.227194,0.113959,64.8014,-6.96116,0.906175,0.0627821,1,0.113959,-64.8014,-6.96116,3.98856,0.0627821
5.79712,1,5.8,BaselineAllocator,2.00322,2.68373,-1.15298,2.77471,2.91172,-1.5282,0.887675,1.45888,0.127358,0.333526,0.0928292,0.871199,1,0,0,0,0,0.00697554,1,0.111395,-24.7401,-3.30152,3.89883,0.0653101,1,0.111395,-22.3221,62.8157,3.89883,0.0653101,1,0.111395,-22.3221,-62.8158,3.89883,0.0653101,0.227194,0.111395,64.7968,-7.04055,0.885789,0.0653101,1,0.111395,-64.7968,-7.04053,3.89883,0.0653101
5.99821,1,6,BaselineAllocator,2.28371,2.77055,-1.16037,3.02816,2.91172,-1.5282,0.842281,1.50916,0.033284,0.352247,0.115998,0.740404,1,0,0,0,0,0.00761574,0.21523,0.139198,-24.2243,-2.62257,1.04859,0.0689263,1,0.139198,-21.8508,62.9138,4.87193,0.0689263,1,0.139198,-21.8508,-62.9138,4.87193,0.0689263,0.227194,0.139198,64.8716,-5.60422,1.10687,0.0689263,1,0.139198,-64.8716,-5.60422,4.87193,0.0689263
