time,episode,episode_time,mode,pos_x,pos_y,pos_z,target_x,target_y,target_z,position_error,speed,angular_speed,energy_proxy,average_thrust,average_health,m0_health,m0_cmd,m0_pitch_deg,m0_yaw_deg,m0_effective_thrust,m0_energy,m1_health,m1_cmd,m1_pitch_deg,m1_yaw_deg,m1_effective_thrust,m1_energy,m2_health,m2_cmd,m2_pitch_deg,m2_yaw_deg,m2_effective_thrust,m2_energy,m3_health,m3_cmd,m3_pitch_deg,m3_yaw_deg,m3_effective_thrust,m3_energy,m4_health,m4_cmd,m4_pitch_deg,m4_yaw_deg,m4_effective_thrust,m4_energy,m5_health,m5_cmd,m5_pitch_deg,m5_yaw_deg,m5_effective_thrust,m5_energy
4.59915,1,4.6,BaselineAllocator,0.489484,0.500016,0.802972,0,2,0,1.7704,2.14167,7.87538,7.52007,0.459243,0.859249,1,0.56108,22.6247,8.43091,19.6378,1.33419,1,0.566901,3.73667,19.1428,19.8416,1.23748,1,0.462699,15.7311,-34.9213,16.1945,1.16526,1,0.296332,64.3542,-8.37558,10.3716,1.12237,1,0.424908,17.0367,5.34831,14.8718,1.30261,0.155495,0.443537,-27.855,11.7084,2.41387,1.35816
4.79961,1,4.8,BaselineAllocator,0.432556,0.501269,0.416706,0,2,0,1.6146,2.08993,7.79285,7.85193,0.54068,0.859249,1,0.650601,0.0889672,-9.39569,22.771,1.38686,1,0.47245,9.33826,16.5149,16.5358,1.29436,1,0.607115,36.0175,-12.5451,21.249,1.21745,1,0.459705,19.6236,-5.92532,16.0897,1.17866,1,0.335774,-24.6899,-45.3892,11.7521,1.36379,0.155495,0.718433,13.746,34.3246,3.90993,1.41081
4.99989,1,5,BaselineAllocator,0.189699,0.500001,0.148934,0,2,0,1.51927,1.84114,11.9677,8.21583,0.496139,0.859249,1,0.432668,-21.2978,38.3464,15.1434,1.43837,1,0.676183,21.4762,-13.5141,23.6664,1.35182,1,0.669984,-6.25969,17.7786,23.4494,1.2884,1,0.31061,-0.0896326,18.4489,10.8713,1.23184,1,0.189764,7.34509,-14.8636,6.64174,1.412,0.155495,0.697626,-22.2676,16.112,3.7967,1.49341
5.2009,1,5.22,BaselineAllocator,-0.0471413,0.519632,-0.112381,0,2,0,1.48538,1.99659,10.2614,8.53562,0.504644,0.859249,1,0.721256,14.3126,12.0291,25.244,1.49331,1,0.453895,-65,-40.4507,15.8863,1.40379,1,0.554779,-12.8494,57.2903,19.4173,1.32496,1,0.608698,14.5002,-30.6456,21.3044,1.29318,1,0.246383,-14.0608,2.02431,8.6234,1.46484,0.155495,0.442854,11.5571,54.6971,2.41015,1.55553
5.402,1,5.42,BaselineAllocator,-0.320998,0.500011,-0.392216,0,2,0,1.5833,2.16071,10.5331,8.91172,0.441879,0.859249,1,0.335626,-17.5716,-11.3019,11.7469,1.55234,1,0.348814,29.7137,19.2762,12.2085,1.4605,1,0.327458,23.8309,-8.65547,11.461,1.3719,1,0.753651,-5.95788,-6.79852,26.3778,1.37107,1,0.147202,-39.9746,-40.6082,5.15208,1.51789,0.155495,0.738522,-3.00653,-1.48947,4.01926,1.63801
5.60285,1,5.62,BaselineAllocator,-0.501161,0.501173,-0.560989,0,2,0,1.67701,1.2909,11.1202,9.22345,0.535571,0.859249,1,0.584039,28.309,31.1732,20.4414,1.61256,1,0.642532,-28.4979,17.2995,22.4886,1.51492,1,0.553719,30.9607,29.6412,19.3802,1.41443,1,0.19351,-41.9576,-11.6499,6.77285,1.40192,1,0.631786,-2.37336,-35.0793,22.1125,1.58851,0.155495,0.60784,37.3869,-24.7146,3.30805,1.69111
5.80372,1,5.82,BaselineAllocator,-0.60598,0.500011,-0.903799,0,2,0,1.85311,2.55585,5.68252,9.5619,0.435098,0.859249,1,0.327259,19.5098,20.265,11.4541,1.67895,1,0.40277,10.5965,11.681,14.0969,1.55259,1,0.661692,-7.77209,21.5246,23.1592,1.47799,1,0.381462,1.44027,-6.35572,13.3512,1.46359,1,0.308502,-37.9343,8.58348,10.7976,1.63938,0.155495,0.5289,-14.9268,11.8812,2.87844,1.74941
6.0039,1,6.02,BaselineAllocator,-0.769728,0.5,-1.4134,0,2,0,2.20004,2.29222,5.57182,9.89632,0.482171,0.859249,1,0.487108,11.8057,41.3843,17.0488,1.73073,1,0.310405,21.6156,-40.1374,10.8642,1.59297,1,0.556865,13.5757,5.35304,19.4903,1.53112,1,0.638884,16.2263,-9.15271,22.3609,1.51407,1,0.483859,-23.7498,3.25916,16.9351,1.71207,0.155495,0.415905,-8.11226,-65,2.26348,1.81536
6.20524,1,6.22,BaselineAllocator,-1.12016,0.5,-1.75086,0,2,0,2.56325,2.47865,6.77904,10.2614,0.505088,0.859249,1,0.536183,23.1709,5.35165,18.7664,1.79566,1,0.442618,18.9051,-33.4302,15.4916,1.64255,1,0.690789,15.9262,12.138,24.1776,1.60919,1,0.439013,-11.7777,13.658,15.3655,1.57266,1,0.414948,-6.23996,4.20402,14.5232,1.7662,0.155495,0.50698,-6.10741,0.296119,2.75914,1.87513
6.40594,1,6.41999,BaselineAllocator,-1.59659,0.500363,-1.76216,0,2,0,2.81127,2.34211,8.39325,10.6067,0.423603,0.859249,1,0.56241,-33.6099,9.05447,19.6844,1.86103,1,0.144385,4.63384,-14.5478,5.05349,1.67354,1,0.399931,8.40391,19.8109,13.9976,1.67285,1,0.60606,-27.3315,6.99116,21.2121,1.6468,1,0.323726,-28.0204,-15.0824,11.3304,1.82239,0.155495,0.505107,-26.5162,18.644,2.74895,1.93004
6.60668,1,6.61999,BaselineAllocator,-1.94199,0.501452,-1.64716,0,2,0,2.95467,1.71125,12.011,10.9552,0.510523,0.859249,1,0.396066,-0.958863,26.5535,13.8623,1.90139,1,0.364254,-8.72288,2.80179,12.7489,1.73644,1,0.556279,-33.8513,21.3784,19.4698,1.72197,1,0.457298,1.8924,40.4682,16.0054,1.70291,1,0.539543,-39.7306,-11.5762,18.884,1.88398,0.155495,0.749698,-43.5234,8.66865,4.08009,2.00848
6.80755,1,6.81999,BaselineAllocator,-2.29606,0.5,-1.80241,0,2,0,3.28185,1.78634,11.5991,11.2442,0.427641,0.859249,1,0.107778,39.1842,-16.8591,3.77222,1.94975,1,0.564304,21.0411,-24.8475,19.7507,1.80034,1,0.425283,9.76693,4.7427,14.8849,1.76992,1,0.426197,11.8545,-29.2365,14.9169,1.74709,1,0.485678,-33.7306,1.82999,16.9987,1.92254,0.155495,0.556608,-8.98715,2.09099,3.02923,2.05458
