time,episode,episode_time,mode,pos_x,pos_y,pos_z,target_x,target_y,target_z,position_error,speed,angular_speed,energy_proxy,average_thrust,average_health,m0_health,m0_cmd,m0_pitch_deg,m0_yaw_deg,m0_effective_thrust,m0_energy,m1_health,m1_cmd,m1_pitch_deg,m1_yaw_deg,m1_effective_thrust,m1_energy,m2_health,m2_cmd,m2_pitch_deg,m2_yaw_deg,m2_effective_thrust,m2_energy,m3_health,m3_cmd,m3_pitch_deg,m3_yaw_deg,m3_effective_thrust,m3_energy,m4_health,m4_cmd,m4_pitch_deg,m4_yaw_deg,m4_effective_thrust,m4_energy,m5_health,m5_cmd,m5_pitch_deg,m5_yaw_deg,m5_effective_thrust,m5_energy
6.00217,1,6.02,BaselineAllocator,-2.21348,0.500093,0.931284,0,2,0,2.83134,1.73809,3.96472,9.85634,0.461947,1,1,0.454285,5.38524,35.4903,15.9,1.69503,1,0.335623,18.0956,-34.2338,11.7468,1.60261,1,0.520585,17.1106,8.99931,18.2205,1.49371,1,0.610241,10.4911,-9.54798,21.3584,1.59348,1,0.473455,-12.9888,3.98804,16.5709,1.70945,1,0.377491,-10.4867,-65,13.2122,1.76206
6.20292,1,6.22,BaselineAllocator,-2.02858,0.500004,1.21911,0,2,0,2.80202,1.78058,3.85463,10.2019,0.494786,1,1,0.54045,19.5641,-1.93551,18.9158,1.75531,1,0.427236,17.8149,-22.584,14.9533,1.65433,1,0.673367,18.7871,7.0408,23.5678,1.56588,1,0.413856,-9.02843,18.9675,14.485,1.64576,1,0.407794,-0.914477,12.0641,14.2728,1.76096,1,0.506014,0.710697,-2.11072,17.7105,1.81971
6.40324,1,6.41999,BaselineAllocator,-1.96869,0.500291,1.41179,0,2,0,2.84921,0.467861,5.23815,10.5342,0.415604,1,1,0.584264,-30.2983,-2.92077,20.4493,1.82138,1,0.109851,0.0627455,-6.60703,3.84477,1.68277,1,0.375576,11.7345,10.4714,13.1452,1.62441,1,0.615952,-24.0528,11.2324,21.5583,1.71734,1,0.314535,-25.6134,-7.59496,11.0087,1.81358,1,0.493446,-24.659,15.5532,17.2706,1.87471
6.6041,1,6.61999,BaselineAllocator,-2.06364,0.527507,1.50603,0,2,0,2.94873,0.836213,12,10.8853,0.523017,1,1,0.516379,-6.60308,21.3106,18.0733,1.87963,1,0.303724,-6.70188,1.97229,10.6304,1.73528,1,0.544955,-31.7455,3.63161,19.0734,1.66936,1,0.464854,10.8442,52.5427,16.2699,1.7772,1,0.564647,-46.7338,-4.1316,19.7626,1.87659,1,0.743541,-32.8741,6.6085,26.0239,1.94726
6.80475,1,6.81999,BaselineAllocator,-2.09266,0.657925,1.6921,0,2,0,3.00726,1.08498,11.3454,11.1867,0.437481,1,1,0.18163,48.1885,-20.9766,6.35706,1.947,1,0.489756,21.3047,-26.0706,17.1415,1.7863,1,0.439226,14.9197,-5.68129,15.3729,1.71694,1,0.488519,23.3396,-21.5082,17.0982,1.82807,1,0.448387,-39.3977,1.9798,15.6936,1.91417,1,0.577371,-10.1285,3.54677,20.208,1.99423
7.00487,1,7.01999,BaselineAllocator,-2.09474,0.511654,1.99913,0,2,0,3.25571,2.05633,9.18773,11.4989,0.486536,1,1,0.725935,-13.7542,-14.9335,25.4077,2.00183,1,0.500944,31.4141,14.4983,17.533,1.83375,1,0.317577,1.66646,30.8196,11.1152,1.75148,1,0.225377,-26.3912,17.656,7.88821,1.8904,1,0.529458,22.2359,12.4163,18.531,1.96331,1,0.619923,25.866,11.4707,21.6973,2.05817
7.20552,1,7.21999,BaselineAllocator,-2.26238,0.5,2.3047,0,2,0,3.5609,1.84038,10.2227,11.8143,0.43642,1,1,0.541433,-24.8667,-44.8521,18.9502,2.07291,1,0.609927,24.9907,13.8123,21.3474,1.8873,1,0.338497,-4.29867,31.7022,11.8474,1.80437,1,0.357336,16.7457,31.2527,12.5067,1.93842,1,0.31196,23.7746,-10.3859,10.9186,2.00351,1,0.459367,22.092,22.5411,16.0779,2.10779
7.40583,1,7.41999,BaselineAllocator,-2.21353,0.500086,2.59378,0,2,0,3.7252,1.81104,9.33229,12.0973,0.416792,1,1,0.378761,38.8372,-6.1716,13.2567,2.10828,1,0.347687,22.9821,-20.8055,12.1691,1.93143,1,0.515096,21.2637,7.54457,18.0284,1.84696,1,0.713969,-8.07313,-18.1487,24.9889,1.98777,1,0.302812,-4.97332,9.74201,10.5984,2.06346,1,0.242426,-32.5801,1.20702,8.4849,2.15936
7.60673,1,7.61999,BaselineAllocator,-1.94514,0.502957,2.836,0,2,0,3.75068,1.91125,7.0493,12.4153,0.44083,1,1,0.660439,-1.34495,-49.8613,23.1154,2.17678,1,0.561565,-7.39304,-5.74734,19.6548,2.0047,1,0.487625,3.73369,6.72274,17.0669,1.89119,1,0.0803087,36.1506,-53.7513,2.8108,2.03285,1,0.349094,1.05269,-34.6002,12.2183,2.10516,1,0.505945,57.7441,-49.1446,17.7081,2.20457
7.80708,1,7.81999,BaselineAllocator,-1.53454,0.503811,2.96963,0,2,0,3.66225,2.06339,5.02948,12.7247,0.503407,1,1,0.449889,-15.0417,-8.8092,15.7461,2.22589,1,0.655915,5.3369,23.8344,22.957,2.06461,1,0.521548,-13.6484,19.1794,18.2542,1.9469,1,0.483013,-18.4519,-42.0639,16.9054,2.07639,1,0.148967,35.0105,27.3902,5.21383,2.14017,1,0.761107,-19.6235,-20.7002,26.6388,2.27074
8.00728,1,8.01999,BaselineAllocator,-1.07564,0.501056,2.91873,0,2,0,3.45294,2.50364,7.34708,13.0337,0.455587,1,1,0.656994,-39.0982,-26.5192,22.9948,2.26805,1,0.560864,9.39777,3.71801,19.6303,2.13885,1,0.197203,-18.9317,12.6161,6.9021,1.98443,1,0.303291,-3.4185,13.0498,10.6152,2.1473,1,0.254982,29.1647,42.891,8.92436,2.17817,1,0.760191,-1.87057,14.2506,26.6067,2.31691
8.20735,1,8.22,BaselineAllocator,-0.543866,0.502349,2.68687,0,2,0,3.12378,3.14862,5.65391,13.3814,0.493427,1,1,0.464665,65,-4.76829,16.2633,2.32136,1,0.377854,19.6636,2.64861,13.2249,2.19802,1,0.433329,20.1042,23.7632,15.1665,2.05075,1,0.670007,1.3068,35.8629,23.4503,2.20182,1,0.449699,-48.5509,24.0708,15.7395,2.23186,1,0.565007,-48.0859,15.1771,19.7752,2.37764
8.40821,1,8.42,BaselineAllocator,0.00984341,0.5,2.45938,0,2,0,2.88073,2.73156,3.48505,13.6965,0.555715,1,1,0.678852,50.5592,4.61773,23.7598,2.37855,1,0.574,10.1815,2.56833,20.09,2.25258,1,0.513812,-16.2421,5.30431,17.9834,2.10185,1,0.646892,18.8454,-16.7333,22.6412,2.26432,1,0.407933,-14.9281,-7.46429,14.2777,2.26467,1,0.5128,-16.4747,21.47,17.948,2.4345
8.60835,1,8.62001,BaselineAllocator,0.61682,0.501223,2.24468,0,2,0,2.76865,3.47394,5.55009,14.0384,0.559352,1,1,0.558047,10.0736,-8.62624,19.5316,2.45007,1,0.691457,-1.22144,14.8342,24.201,2.31542,1,0.594314,-11.1329,8.75845,20.801,2.15144,1,0.54392,13.9543,-6.26284,19.0372,2.30949,1,0.453003,-33.3189,9.4066,15.8551,2.31407,1,0.515373,9.19109,-6.24566,18.0381,2.49792
8.80918,1,8.82001,BaselineAllocator,1.1227,0.501554,2.02519,0,2,0,2.75812,2.5952,6.12541,14.3963,0.565914,1,1,0.490328,12.5188,1.93476,17.1615,2.50861,1,0.453798,2.94308,27.25,15.8829,2.38478,1,0.671513,-24.7076,-8.3121,23.503,2.20906,1,0.694959,2.63059,3.90419,24.3236,2.35752,1,0.639151,-48.7967,-22.4045,22.3703,2.37309,1,0.445732,-27.8336,2.14913,15.6006,2.56325
